epoch,loss,accuracy,pred,true,euclidean,cosine_similarity
0,3.225010395050049,0.09090909090909091,17,2,1.4142135623730951,0.0
0,3.225010395050049,0.09090909090909091,21,19,1.4142135623730951,0.0
0,3.225010395050049,0.09090909090909091,17,18,1.4142135623730951,0.0
0,3.225010395050049,0.09090909090909091,21,22,1.4142135623730951,0.0
0,3.225010395050049,0.09090909090909091,8,17,1.4142135623730951,0.0
0,3.225010395050049,0.09090909090909091,21,21,0.0,1
0,3.225010395050049,0.09090909090909091,21,1,1.4142135623730951,0.0
0,3.225010395050049,0.09090909090909091,21,19,1.4142135623730951,0.0
0,3.225010395050049,0.09090909090909091,17,10,1.4142135623730951,0.0
0,3.225010395050049,0.09090909090909091,21,9,1.4142135623730951,0.0
0,3.225010395050049,0.09090909090909091,21,22,1.4142135623730951,0.0
1,3.1979732513427734,0.09090909090909091,21,2,1.4142135623730951,0.0
1,3.1979732513427734,0.09090909090909091,21,19,1.4142135623730951,0.0
1,3.1979732513427734,0.09090909090909091,17,18,1.4142135623730951,0.0
1,3.1979732513427734,0.09090909090909091,21,22,1.4142135623730951,0.0
1,3.1979732513427734,0.09090909090909091,8,17,1.4142135623730951,0.0
1,3.1979732513427734,0.09090909090909091,21,21,0.0,1
1,3.1979732513427734,0.09090909090909091,21,1,1.4142135623730951,0.0
1,3.1979732513427734,0.09090909090909091,21,19,1.4142135623730951,0.0
1,3.1979732513427734,0.09090909090909091,17,10,1.4142135623730951,0.0
1,3.1979732513427734,0.09090909090909091,21,9,1.4142135623730951,0.0
1,3.1979732513427734,0.09090909090909091,21,22,1.4142135623730951,0.0
2,3.1723756790161133,0.09090909090909091,21,2,1.4142135623730951,0.0
2,3.1723756790161133,0.09090909090909091,21,19,1.4142135623730951,0.0
2,3.1723756790161133,0.09090909090909091,17,18,1.4142135623730951,0.0
2,3.1723756790161133,0.09090909090909091,21,22,1.4142135623730951,0.0
2,3.1723756790161133,0.09090909090909091,16,17,1.4142135623730951,0.0
2,3.1723756790161133,0.09090909090909091,21,21,0.0,1
2,3.1723756790161133,0.09090909090909091,21,1,1.4142135623730951,0.0
2,3.1723756790161133,0.09090909090909091,21,19,1.4142135623730951,0.0
2,3.1723756790161133,0.09090909090909091,17,10,1.4142135623730951,0.0
2,3.1723756790161133,0.09090909090909091,21,9,1.4142135623730951,0.0
2,3.1723756790161133,0.09090909090909091,21,22,1.4142135623730951,0.0
3,3.1480093002319336,0.09090909090909091,21,2,1.4142135623730951,0.0
3,3.1480093002319336,0.09090909090909091,21,19,1.4142135623730951,0.0
3,3.1480093002319336,0.09090909090909091,17,18,1.4142135623730951,0.0
3,3.1480093002319336,0.09090909090909091,21,22,1.4142135623730951,0.0
3,3.1480093002319336,0.09090909090909091,16,17,1.4142135623730951,0.0
3,3.1480093002319336,0.09090909090909091,21,21,0.0,1
3,3.1480093002319336,0.09090909090909091,0,1,1.4142135623730951,0.0
3,3.1480093002319336,0.09090909090909091,21,19,1.4142135623730951,0.0
3,3.1480093002319336,0.09090909090909091,17,10,1.4142135623730951,0.0
3,3.1480093002319336,0.09090909090909091,21,9,1.4142135623730951,0.0
3,3.1480093002319336,0.09090909090909091,21,22,1.4142135623730951,0.0
4,3.12506103515625,0.0,21,2,1.4142135623730951,0.0
4,3.12506103515625,0.0,21,19,1.4142135623730951,0.0
4,3.12506103515625,0.0,17,18,1.4142135623730951,0.0
4,3.12506103515625,0.0,0,22,1.4142135623730951,0.0
4,3.12506103515625,0.0,16,17,1.4142135623730951,0.0
4,3.12506103515625,0.0,0,21,1.4142135623730951,0.0
4,3.12506103515625,0.0,0,1,1.4142135623730951,0.0
4,3.12506103515625,0.0,21,19,1.4142135623730951,0.0
4,3.12506103515625,0.0,17,10,1.4142135623730951,0.0
4,3.12506103515625,0.0,21,9,1.4142135623730951,0.0
4,3.12506103515625,0.0,0,22,1.4142135623730951,0.0
5,3.103550434112549,0.0,21,2,1.4142135623730951,0.0
5,3.103550434112549,0.0,0,19,1.4142135623730951,0.0
5,3.103550434112549,0.0,17,18,1.4142135623730951,0.0
5,3.103550434112549,0.0,0,22,1.4142135623730951,0.0
5,3.103550434112549,0.0,16,17,1.4142135623730951,0.0
5,3.103550434112549,0.0,0,21,1.4142135623730951,0.0
5,3.103550434112549,0.0,0,1,1.4142135623730951,0.0
5,3.103550434112549,0.0,21,19,1.4142135623730951,0.0
5,3.103550434112549,0.0,21,10,1.4142135623730951,0.0
5,3.103550434112549,0.0,0,9,1.4142135623730951,0.0
5,3.103550434112549,0.0,0,22,1.4142135623730951,0.0
