sentence,target,target_strength,subject,subject_strength,object,object_strength,intent,intent_strength,tense,tense_strength,candidate_ids,correct_id,emotion,formality
彼は怒った。,怒った,1.0,彼,0.9,,0.2,陳述,0.8,過去,0.6,0002;0310;0872,2,anger,neutral
彼が怒った。,怒った,1.0,彼,0.9,,0.2,陳述,0.8,過去,0.6,0002;0310;0872,2,anger,neutral
雲が怒った。,怒った,1.0,雲,0.5,,0.2,陳述,0.8,現在,0.6,0002;0310;0872,310,anger,neutral
空が怒った。,怒った,1.0,空,0.7,,0.2,陳述,0.8,現在,0.6,0002;0310;0872,310,anger,neutral
怒った！,怒った,1.0,不明,0.2,,0.2,命令,0.8,現在,0.6,0002;0310;0872,872,anger,casual
怒れ！,怒った,1.0,不明,0.2,,0.2,命令,0.8,現在,0.6,0002;0310;0872,872,anger,casual
怒って！,怒った,1.0,不明,0.2,,0.2,命令,0.8,現在,0.6,0002;0310;0872,872,anger,casual
もっと怒れ！,怒った,1.0,不明,0.2,,0.2,命令,0.8,現在,0.6,0002;0310;0872,872,anger,casual
静かに怒れ！,怒った,1.0,不明,0.2,,0.2,命令,0.8,現在,0.6,0002;0310;0872,872,anger,polite
彼は泣いた。,泣いた,1.0,彼,0.9,,0.2,陳述,0.8,過去,0.6,0009;0881,9,sadness,neutral
赤ちゃんが泣いた。,泣いた,1.0,赤ちゃん,0.9,,0.2,陳述,0.8,過去,0.6,0009;0881,9,sadness,neutral
子どもが泣いた。,泣いた,1.0,子ども,0.9,,0.2,陳述,0.8,過去,0.6,0009;0881,9,sadness,neutral
泣け！,泣いた,1.0,不明,0.2,,0.2,命令,0.8,現在,0.6,0009;0881,881,sadness,casual
もっと泣け！,泣いた,1.0,不明,0.2,,0.2,命令,0.8,現在,0.6,0009;0881,881,sadness,casual
彼は見た。,見た,1.0,彼,0.9,空,0.7,陳述,0.8,過去,0.6,1001;1002;1003,1001,neutral,neutral
空を見た。,見た,1.0,彼,0.9,空,0.7,陳述,0.8,過去,0.6,1001;1002;1003,1001,neutral,neutral
展示を見た。,見た,1.0,彼,0.9,展示,0.7,陳述,0.8,過去,0.6,1001;1002;1003,1001,neutral,neutral
患者を見た。,見た,1.0,医者,0.9,患者,0.7,陳述,0.8,過去,0.6,1001;1002;1003,1002,neutral,neutral
母を見た。,見た,1.0,彼,0.9,母,0.7,陳述,0.8,過去,0.6,1001;1002;1003,1003,neutral,neutral
彼女に会った。,見た,1.0,彼女,0.9,彼女,0.9,陳述,0.8,過去,0.6,1001;1002;1003,1003,neutral,neutral
