sentence,target,subject,object,candidate_ids,correct_id,intent,tense
その写真は綺麗やった。,写真,彼,綺麗,"その写真は綺麗やった。;どんな写真？",どんな写真？,陳述,過去
その席、空いてる？,席,彼,空いてる,"その席、空いてる？;どうぞ",どうぞ,質問,現在
怒らないでください。,怒った,不明,不明,"怒らないでください。;落ち着いてください",落ち着いてください,命令,現在
ご飯を食べた。,食べた,彼,ご飯,"ご飯を食べた。;そうなんですね",そうなんですね,陳述,過去
もう食べた？,食べた,彼,ご飯,"もう食べた？;うん、食べたよ",うん、食べたよ,質問,過去
お腹すいた…,食べた,不明,ご飯,"お腹すいた…;何か食べに行こっか",何か食べに行こっか,願望,現在
食べなよ！,食べた,不明,ご飯,"食べなよ！;ありがとう、いただきます",ありがとう、いただきます,命令,現在

彼が怒っていたよ。,怒った,彼,不明,"怒らないで;彼が怒っていたよ。",怒らないで,陳述,過去
なんで怒ったの？,怒った,彼,不明,"説明して;どうして怒ったの？",どうして怒ったの？,質問,過去
写真を見たよ。,見た,彼,写真,"綺麗だね;どんな写真？",綺麗だね,感想,過去
どんな展示だった？,見た,彼,展示,"どんな展示？;説明して",どんな展示？,質問,過去
ご飯はどうだった？,食べた,彼,ご飯,"美味しかった？;お腹いっぱい",美味しかった？,質問,過去
ちゃんと食べた？,食べた,彼,ご飯,"ちゃんと食べた？;まだ食べてない",ちゃんと食べた？,質問,過去
荷物を取った？,取った,彼,荷物,"取った;置いてきた",取った,質問,過去
リンゴ食べた？,食べた,彼,リンゴ,"食べた;食べてない",食べた,質問,過去
疲れたの？,泣いた,彼,不明,"大丈夫？;休もう",大丈夫？,質問,現在
頑張ったね。,泣いた,彼,不明,"頑張ったね;よくやった",頑張ったね,感想,過去
もう泣かないでね。,泣いた,彼,不明,"大丈夫;泣かないで",泣かないで,願望,現在
空を見たの？,見た,彼,空,"空を見たの？;青かった",空を見たの？,質問,過去
空が青かったよ。,見た,彼,空,"青かった;綺麗だった",綺麗だった,感想,過去
何を見たの？,見た,彼,不明,"展示;空;母",展示,質問,過去
どこに行ったの？,見た,彼,不明,"学校;美術館",美術館,質問,過去

彼が展示を見てた。,見た,彼,展示,"展示;空;母",展示,陳述,過去
空が綺麗やった。,見た,空,綺麗,"綺麗;曇り;展示",綺麗,感想,過去
展示どうだった？,見た,不明,展示,"よかった;つまらなかった",よかった,質問,過去
ご飯食べた？,食べた,不明,ご飯,"はい;まだ",はい,質問,現在
早くご飯食べて。,食べた,不明,ご飯,"ごめん;もうすぐ",もうすぐ,命令,現在
眠たくなってきた…,寝た,不明,不明,"おやすみ;無理しないで",無理しないで,願望,現在
寝なさい！,寝た,不明,不明,"寝る;今から",今から,命令,現在
今日疲れたね。,疲れた,彼,不明,"疲れたね;頑張った",頑張った,感想,現在
頑張ったね。,頑張った,不明,不明,"ありがとう;こちらこそ",ありがとう,感謝,現在
どうして泣いてたの？,泣いた,不明,不明,"悲しかった;嬉しかった",悲しかった,質問,過去
泣かないでって言ったのに…,泣いた,不明,不明,"ごめん;もう泣かない",ごめん,陳述,過去
また泣いちゃった…,泣いた,不明,不明,"大丈夫;そばにいるよ",そばにいるよ,感想,現在
そのリンゴおいしかった！,食べた,不明,リンゴ,"ほんと？;よかった",よかった,感想,過去
どの写真がよかった？,取った,不明,写真,"これ;あれ",これ,質問,過去
チケット取ってくれてありがとう,取った,彼,チケット,"どういたしまして;いいえ",どういたしまして,感謝,過去

泣いてたね,泣いた,彼女,不明,"001;002",001,陳述,過去
よく頑張ったね,泣いた,不明,不明,"001;002",002,感想,過去
なんで泣いたの？,泣いた,彼女,不明,"001;003",003,質問,過去
泣かないで,泣いた,不明,不明,"001;004",004,願望,現在
泣け！,泣いた,不明,不明,"001;005",005,命令,現在
もう泣くなよ,泣いた,不明,不明,"001;006",006,命令,現在
泣いちゃった…,泣いた,不明,不明,"001;007",007,感想,過去

怒らないで,怒った,不明,不明,"010;011",010,命令,現在
どうして怒ったの？,怒った,彼,不明,"010;011",011,質問,過去
何があったの？,怒った,彼,不明,"010;012",012,質問,過去
静かにして,怒った,不明,不明,"010;013",013,命令,現在

写真を撮った,取った,彼,写真,"020;021",020,陳述,過去
ちゃんと撮ってきたよ,取った,彼,写真,"020;021",021,陳述,過去
写真を撮った？,取った,不明,写真,"020;022",022,質問,過去
見せて,取った,不明,写真,"020;023",023,命令,現在
どんな写真？,取った,不明,写真,"020;024",024,質問,現在

お腹すいた…,食べた,不明,ご飯,"030;031",030,願望,現在
もう食べた？,食べた,彼,ご飯,"030;031",031,質問,過去
うん、食べたよ,食べた,彼,ご飯,"030;032",032,返答,過去
美味しかった？,食べた,不明,ご飯,"030;033",033,質問,過去
ありがとう、いただきます,食べた,不明,ご飯,"030;034",034,返答,現在

空を見たよ,見た,彼,空,"040;041",040,陳述,過去
綺麗だったね,見た,彼,空,"040;041",041,感想,過去
空を見たの？,見た,不明,空,"040;042",042,質問,現在
展示を見た？,見た,不明,展示,"040;043",043,質問,過去
うん、見たよ,見た,彼,展示,"040;044",044,返答,過去

座っていい？,座った,彼,席,"050;051",050,質問,現在
どうぞ,座った,不明,席,"050;051",051,返答,現在
ありがとう,座った,不明,席,"050;052",052,感謝,現在


